ProviderID,ProviderName,StoreNumber,Location,Specialty,Review,TransgenderFriendly,PhoneNumber,latitude,longitude
1,Walgreens,3815,"111 S MAIN ST Orange, CA 92868",Community Pharmacy,2.5,No,714-289-3650,33.78781467,-117.8668395
2,Walgreens,10336,"1538 E CHAPMAN AVE Orange, CA 92866",Walgreens Pharmacy,2.1,Yes,714-288-1790,33.78721251,-117.8373272
3,Walgreens,6388,"1301 E 17TH ST Santa Ana, CA 92705",Walgreens Pharmacy,2.6,No,714-541-1747,33.76046078,-117.8512182
4,Walgreens,3636,"3237 E CHAPMAN AVE Orange, CA 92869",Walgreens Pharmacy,3,Yes,714-538-5609,33.78832331,-117.8188739
5,Walgreens,9977,"1802 S HARBOR BLVD Anaheim, CA 92802",Walgreens Pharmacy,3.1,Yes,714-808-0126,33.80446457,-117.9152359
6,Walgreens,7286,"13052 NEWPORT AVE Tustin, CA 92780",Walgreens Pharmacy,2,No,714-505-6021,33.74905995,-117.8108336
7,Walgreens,5744,"128 S STATE COLLEGE BLVD Anaheim, CA 92806",Walgreens Pharmacy,2.3,No,714-778-2519,33.84039275,-117.8882065
8,Walgreens,5972,"12001 EUCLID ST Garden Grove, CA 92840",Walgreens Pharmacy,2,Yes,714-530-1071,33.78838967,-117.9425933
9,Walgreens,12573,"16201 HARBOR BLVD Fountain Valley, CA 92708",Walgreens Pharmacy,3.1,Yes,714-839-3496,33.72799425,-117.9213899
10,Walgreens,6157,"946 S BROOKHURST ST Anaheim, CA 92804",Walgreens Pharmacy,2.8,No,714-520-5575,33.81868736,-117.9585541
11,Walgreens,1750,"1250 E CHAPMAN AVE Fullerton, CA 92831",Walgreens Pharmacy,2.8,No,714-680-9124,33.87368696,-117.9059429
12,Walgreens,12694,"10990 WARNER AVE Fountain Valley, CA 92708",Community Pharmacy,2.8,Yes,714-962-7200,33.71621031,-117.9374592
13,Walgreens,9534,"15990 BROOKHURST ST Fountain Valley, CA 92708",Walgreens Pharmacy,2.2,No,714-775-3974,33.73119239,-117.9540918
14,Walgreens,9197,"191 E YORBA LINDA BLVD Placentia, CA 92870",Walgreens Pharmacy,2.2,Yes,714-854-1767,33.88819345,-117.8638661
15,Walgreens,3560,"1201 E YORBA LINDA BLVD Placentia, CA 92870",Walgreens Pharmacy,2.5,Yes,714-579-7451,33.88877956,-117.841297
16,Walgreens,6215,"1826 W ORANGETHORPE AVE Fullerton, CA 92833",Walgreens Pharmacy,2.1,No,714-526-9257,33.85875946,-117.9605363
17,Walgreens,6446,"11900 BEACH BLVD Stanton, CA 90680",Walgreens Pharmacy,2.4,Yes,714-890-9063,33.78923157,-117.9924916
18,Walgreens,2162,"8052 WESTMINSTER BLVD Westminster, CA 92683",Walgreens Pharmacy,2.2,Yes,714-896-9589,33.75876056,-117.988791
19,Walgreens,7679,"7878 CRESCENT AVE Buena Park, CA 90620",Walgreens Pharmacy,2.5,No,714-226-0238,33.83888611,-117.9958971
20,Walgreens,9089,"19001 BROOKHURST ST Huntington Beach, CA 92646",Walgreens Pharmacy,2.4,No,714-593-1352,33.68657966,-117.9547946
21,Walgreens,9883,"6316 IRVINE BLVD Irvine, CA 92620",Walgreens Pharmacy,1.7,Yes,949-451-1563,33.69607145,-117.7419679
22,Walgreens,6954,"3446 W BALL RD Anaheim, CA 92804",Walgreens Pharmacy,1.8,Yes,714-821-3112,33.8165538,-118.0098488
23,Walgreens,11786,"5695 ALTON PKWY Irvine, CA 92618",Walgreens Pharmacy,2.3,Yes,949-726-0716,33.66982486,-117.7854409
24,Walgreens,5771,"17522 BEACH BLVD Huntington Beach, CA 92647",Walgreens Pharmacy,2,No,714-596-5272,33.70798141,-117.988673
25,Walgreens,6187,"11950 VALLEY VIEW ST Garden Grove, CA 92845",Walgreens Pharmacy,3.8,Yes,714-893-4196,33.78901828,-118.0277603
26,Walgreens,5881,"19501 BEACH BLVD Huntington Beach, CA 92648",Walgreens Pharmacy,2,No,714-969-1368,33.67906218,-117.9892129
27,Walgreens,4354,"6012 WARNER AVE Huntington Beach, CA 92647",Walgreens Pharmacy,3,Yes,714-375-5443,33.71511687,-118.0235114
28,Walgreens,7629,"5005 BALL RD Cypress, CA 90630",Walgreens Pharmacy,2.6,No,714-886-1079,33.81744415,-118.0450276
29,Walgreens,11652,"1726 SUPERIOR AVE Costa Mesa, CA 92627",Walgreens Pharmacy,3,Yes,949-629-9714,33.636986,-117.9222295
30,Walgreens,12140,"4935 WARNER AVE Huntington Beach, CA 92649",Walgreens Pharmacy,2.8,Yes,714-377-3756,33.71587581,-118.0421148
31,Walgreens,5672,"2000 W WHITTIER BLVD La Habra, CA 90631",Walgreens Pharmacy,2.6,No,562-690-5567,33.93934099,-117.9688693
32,Walgreens,13812,"14885 TELEGRAPH RD La Mirada, CA 90638",Walgreens Pharmacy,2.6,No,562-777-3405,33.91756309,-118.0130354
33,Walgreens,3936,"24382 MUIRLANDS BLVD Lake Forest, CA 92630",Walgreens Pharmacy,2.7,Yes,949-598-9088,33.62822797,-117.704922
34,Walgreens,9845,"18308 COLIMA RD Rowland Heights, CA 91748",Walgreens Pharmacy,2.6,Yes,626-913-1033,33.98811762,-117.905229
35,Walgreens,5773,"11800 ARTESIA BLVD Artesia, CA 90701",Walgreens Pharmacy,2.1,No,562-924-7718,33.87215861,-118.0814491
36,Walgreens,4207,"24081 EL TORO RD Laguna Hills, CA 92653",Walgreens Pharmacy,2.6,Yes,949-206-9632,33.61298921,-117.7125053
37,Walgreens,11472,"3320 CHINO HILLS PKWY Chino Hills, CA 91709",Walgreens Pharmacy,2.2,Yes,909-393-9056,33.98326247,-117.7318291
38,Walgreens,5616,"5913 CARSON ST Lakewood, CA 90713",Walgreens Pharmacy,2.7,No,562-429-9120,33.83266709,-118.1160222
39,Walgreens,5649,"8201 GREENLEAF AVE Whittier, CA 90602",Walgreens Pharmacy,2.9,No,562-698-4906,33.96539462,-118.0382952
40,Walgreens,11241,"26531 ALISO CREEK RD Aliso Viejo, CA 92656",Walgreens Pharmacy,2.7,Yes,949-448-0082,33.57707782,-117.7239019
41,Walgreens,7403,"15740 WOODRUFF AVE Bellflower, CA 90706",Walgreens Pharmacy,2.1,No,562-867-5441,33.89025844,-118.1169414
42,Walgreens,11243,"11930 STUDEBAKER RD Norwalk, CA 90650",Walgreens Pharmacy,2.2,Yes,562-864-8138,33.92301114,-118.0987125
43,Walgreens,7303,"100 W ONTARIO AVE Corona, CA 92882",Walgreens Pharmacy,1.6,No,951-582-9551,33.85570205,-117.5698086
44,Walgreens,7832,"3339 E ANAHEIM ST Long Beach, CA 90804",Walgreens Pharmacy,2.5,No,562-597-5338,33.7828825,-118.1531541
45,Walgreens,9560,"2453 S AZUSA AVE West Covina, CA 91792",Walgreens Pharmacy,2.6,Yes,626-964-3101,34.03230498,-117.9150005
46,Walgreens,6903,"5829 LAKEWOOD BLVD Lakewood, CA 90712",Walgreens Pharmacy,2.6,No,562-817-5690,33.86127313,-118.1429124
47,Walgreens,7211,"11604 WHITTIER BLVD Whittier, CA 90601",Walgreens Pharmacy,2.6,No,562-695-7416,33.98227022,-118.053473
48,Walgreens,12916,"30592 SANTA MARGARITA PKWY Rancho Santa Margarita, CA 92688",Walgreens Pharmacy,2.5,Yes,949-635-5966,33.64325852,-117.5979821
49,Walgreens,5702,"934 N HACIENDA BLVD La Puente, CA 91744",Walgreens Pharmacy,2.8,Yes,626-934-1926,34.03636383,-117.9492959
50,Walgreens,6975,"27982 LA PAZ RD Laguna Niguel, CA 92677",Walgreens Pharmacy,2.8,No,949-360-8215,33.55669566,-117.7088957
51,CVS,16045,"12100 HARBOR BLVD, GARDEN GROVE, CA 92840",CVS Pharmacy at Target,2.7,No,714-971-0197,33.7876942,-117.9135539
52,CVS,8874,"1676 WEST KATELLA AVENUE, ANAHEIM, CA 92802",CVS Pharmacy,2.5,Yes,714-956-5920,33.80282959,-117.9405527
53,CVS,10225,"1803 SOUTH HARBOR BLVD, ANAHEIM, CA 92802",CVS Pharmacy,3.9,Yes,714-817-9116,33.80310995,-117.9156631
54,CVS,8862,"12031 BROOKHURST STREET, GARDEN GROVE, CA 92840",CVS Pharmacy,2,No,714-530-5280,33.78795512,-117.9599478
55,CVS,16046,"13831 BROOKHURST ST, GARDEN GROVE, CA 92843",CVS Pharmacy at Target,2.1,No,714-539-5516,33.76201486,-117.9565743
56,CVS,8855,"228 NORTH HARBOR BOULEVARD, SANTA ANA, CA 92703",CVS Pharmacy y mas,2.1,No,714-554-7120,33.74669149,-117.9209466
57,CVS,8849,"1545 WEST 17TH STREET, SANTA ANA, CA 92706",CVS Pharmacy y mas,1.8,Yes,714-547-6578,33.76141811,-117.8895299
58,CVS,9560,"611 S. BROOKHURST ST., ANAHEIM, CA 92804",CVS Pharmacy,2.1,Yes,714-778-3123,33.82460017,-117.9599681
59,CVS,17478,"101 S EUCLID ST, ANAHEIM, CA 92802",CVS Pharmacy at Target,2.7,Yes,714-422-1121,33.8310206,-117.9428146
60,CVS,9510,"15421 BROOKHURST STREET, WESTMINSTER, CA 92683",CVS Pharmacy,1.6,No,714-531-1551,33.73882687,-117.9562874
61,CVS,9481,"12444 BEACH BOULEVARD, STANTON, CA 90680",CVS Pharmacy,1.8,No,714-899-1520,33.78142074,-117.9921696
62,CVS,9759,"270 WEST LINCOLN AVENUE, ANAHEIM, CA 92805",CVS Pharmacy,2.1,Yes,714-774-3827,33.83470353,-117.916543
63,CVS,9725,"480 SOUTH MAIN STREET, ORANGE, CA 92868",CVS Pharmacy,2.2,No,714-938-1200,33.78096448,-117.868257
64,CVS,9583,"102 NORTH MAIN STREET, SANTA ANA, CA 92701",CVS Pharmacy y mas,2.1,Yes,714-543-4025,33.74576011,-117.8679034
65,CVS,9555,"510 SOUTH BEACH BOULEVARD, ANAHEIM, CA 92804",CVS Pharmacy,1.7,No,714-226-9393,33.82548786,-117.992869
66,CVS,16090,"1330 E 17TH ST, SANTA ANA, CA 92705",CVS Pharmacy at Target,3.3,Yes,714-547-1042,33.75890406,-117.8501932
67,CVS,16063,"6835 KATELLA AVE, CYPRESS, CA 90630",CVS Pharmacy at Target,2.7,Yes,714-484-7557,33.80428899,-118.0133358
68,CVS,9762,"2011 EAST LA PALMA, ANAHEIM, CA 92806",CVS Pharmacy y mas,3,Yes,714-991-9161,33.84771649,-117.8880049
69,CVS,16756,"200 W ORANGETHORPE AVE, FULLERTON, CA 92832",CVS Pharmacy at Target,4,Yes,714-992-4619,33.8583482,-117.9269197
70,CVS,16071,"16400 BEACH BLVD, WESTMINSTER, CA 92683",CVS Pharmacy at Target,3.9,Yes,714-841-2679,33.72589561,-117.9858575
71,CVS,17372,"200 WESTMINSTER MALL, WESTMINSTER, CA 92683",CVS Pharmacy at Target,3.1,Yes,714-657-1352,33.74627143,-118.0123534
72,CVS,9569,"17136 MAGNOLIA ST., FOUNTAIN VALLEY, CA 92708",CVS Pharmacy,2.4,No,714-847-6054,33.71380266,-117.970979
73,CVS,8885,"15520 GOLDENWEST ST., HUNTINGTON BEACH, CA 92647",CVS Pharmacy,1.6,No,714-373-4352,33.73685365,-118.006251
